年別,類型,觀光遊憩區,細分,縣市別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
2012,國家公園,玉山國家公園,塔塔加遊憩區,南投縣,83806,59526,63451,71541,64384,19312,34755,17392,25217,39252,53688,50449,582773
2012,國家公園,玉山國家公園,梅山遊客中心,高雄市,4846,1854,1190,1849,1092,0,0,0,6,651,27,19,11534
2012,國家公園,玉山國家公園,南安遊客中心,花蓮縣,37578,19373,21987,20037,18384,12088,24176,16894,23817,22601,23157,20602,260694
2012,國家公園,玉山國家公園,玉山管理處遊客服務中心,南投縣,13262,9460,9322,10362,10233,10338,13533,10098,9042,9670,10719,16931,132970
2012,國家公園,玉山國家公園,排雲山莊,南投縣,371,80,376,1476,1511,979,1868,643,1548,2128,2173,966,14119
2013,國家公園,玉山國家公園,塔塔加遊憩區,南投縣,58010,102555,63474,65522,55806,47415,39634,41606,51046,56146,58063,50601,689878
2013,國家公園,玉山國家公園,梅山遊客中心,高雄市,1066,3507,956,985,852,1001,1066,521,315,710,654,1805,13438
2013,國家公園,玉山國家公園,南安遊客中心,花蓮縣,22651,41887,22030,21543,20112,18750,16512,18696,19749,22069,20930,15400,260329
2013,國家公園,玉山國家公園,玉山管理處遊客服務中心,南投縣,14978,9523,9128,9833,8567,10890,10853,11071,9828,12708,10034,12272,129685
2013,國家公園,玉山國家公園,排雲山莊,南投縣,464,29,1232,1989,1514,3815,3133,2632,2903,3582,3803,2841,27937
2014,國家公園,玉山國家公園,塔塔加遊憩區,南投縣,23433,45814,61971,56986,32070,37898,46162,55488,42999,61292,52062,46600,562775
2014,國家公園,玉山國家公園,梅山遊客中心,高雄市,1569,3280,1943,1144,776,199,917,950,770,1430,1147,1497,15622
2014,國家公園,玉山國家公園,南安遊客中心,花蓮縣,16574,23480,22452,23126,19134,21589,26251,26660,21264,21805,21923,21418,265676
2014,國家公園,玉山國家公園,玉山管理處遊客服務中心,南投縣,14730,9810,9243,9781,9228,9695,13358,12543,9284,11083,11351,10771,130877
2014,國家公園,玉山國家公園,排雲山莊,南投縣,727,6,894,3668,3675,3378,3298,3979,3380,4172,4048,2571,33796
2015,國家公園,玉山國家公園,塔塔加遊憩區,南投縣,43433,61152,54853,57846,38945,49843,53847,49312,54671,58502,60641,48285,631330
2015,國家公園,玉山國家公園,梅山遊客中心,高雄市,4536,3085,1699,1627,944,1154,1254,1085,810,880,943,930,18947
2015,國家公園,玉山國家公園,南安遊客中心,花蓮縣,17614,22011,17217,21547,16898,17834,19523,18528,19804,18796,17830,16046,223648
2015,國家公園,玉山國家公園,玉山管理處遊客服務中心,南投縣,20934,10058,8206,8834,7389,11922,13691,10018,10799,8569,12703,9219,132342
2015,國家公園,玉山國家公園,排雲山莊,南投縣,1042,0,2667,3754,3888,4181,3390,3105,3893,4602,4299,3906,38727
2016,國家公園,玉山國家公園,塔塔加遊憩區,南投縣,51240,61405,48557,56881,58233,65750,76204,72615,36008,56123,59461,85401,727878
2016,國家公園,玉山國家公園,梅山遊客中心,高雄市,1427,1749,1536,1482,1248,812,856,1070,365,873,631,1333,13382
2016,國家公園,玉山國家公園,南安遊客中心,花蓮縣,16949,28533,16470,23519,20425,22722,28793,26931,18670,17613,19233,25012,264870
2016,國家公園,玉山國家公園,玉山管理處遊客服務中心,南投縣,16377,10283,8499,8443,8130,9251,9472,10032,9181,7442,8533,17248,122891
2016,國家公園,玉山國家公園,排雲山莊,南投縣,6,100,290,3077,4851,4625,2399,4700,3098,5717,4830,4577,38270
2017,國家公園,玉山國家公園,塔塔加遊憩區,南投縣,70775,58918,45162,54127,54432,27781,62427,58894,38800,59142,64086,80962,675506
2017,國家公園,玉山國家公園,梅山遊客中心,高雄市,5481,1543,1456,2077,2654,1498,972,1050,1420,1902,1978,1887,23918
2017,國家公園,玉山國家公園,南安遊客中心,花蓮縣,24474,19951,13316,17971,20347,22216,29130,34188,22408,24273,21404,28013,277691
2017,國家公園,玉山國家公園,玉山管理處遊客服務中心,南投縣,13886,9741,9308,7180,7726,7253,9666,6857,7173,7401,9040,7625,102856
2017,國家公園,玉山國家公園,排雲山莊,南投縣,1795,28,3301,5445,5900,3411,5128,5059,5063,6601,5805,4700,52236
2018,國家公園,玉山國家公園,塔塔加遊憩區,南投縣,64502,33911,51136,56037,50017,40728,44841,42422,43306,42754,32886,39888,542428
2018,國家公園,玉山國家公園,梅山遊客中心,高雄市,4997,5325,1456,1961,1339,987,1708,1174,981,1145,631,1331,23035
2018,國家公園,玉山國家公園,南安遊客中心,花蓮縣,22627,23265,23404,30310,23693,22302,28858,27862,23275,21618,23855,26657,297726
2018,國家公園,玉山國家公園,玉山管理處遊客服務中心,南投縣,11857,8459,5983,8302,6585,6388,8756,8591,6803,6103,7703,2195,87725
2018,國家公園,玉山國家公園,排雲山莊,南投縣,693,7,2912,5727,6222,5402,5837,5319,5457,6305,5404,5167,54452
2019,國家公園,玉山國家公園,塔塔加遊憩區,南投縣,27352,34907,35222,35030,20767,34606,35373,22122,51528,70039,61916,48972,477834
2019,國家公園,玉山國家公園,梅山遊客中心,高雄市,4101,6642,2501,2095,1658,2087,1524,1441,1427,2640,2395,4980,33491
2019,國家公園,玉山國家公園,南安遊客中心,花蓮縣,21924,26010,26386,28353,24358,28632,34775,31287,28446,30436,25996,26551,333154
2019,國家公園,玉山國家公園,玉山管理處遊客服務中心,南投縣,11190,11363,9086,8806,10814,9319,10718,9276,7502,9474,8179,9109,114836
2019,國家公園,玉山國家公園,排雲山莊,南投縣,1987,3,3977,5544,5068,5870,5692,4385,6243,6903,6832,5620,58124
2020,國家公園,玉山國家公園,塔塔加遊憩區,南投縣,51931,46890,48327,47220,50851,78256,96966,68315,58332,79345,63976,60554,750963
2020,國家公園,玉山國家公園,梅山遊客中心,高雄市,9430,6852,7437,5076,2753,3334,4331,4255,2292,2292,3805,3426,55283
2020,國家公園,玉山國家公園,南安遊客中心,花蓮縣,30899,27033,27279,29949,31663,39123,40541,39847,32601,37335,28344,29379,393993
2020,國家公園,玉山國家公園,玉山管理處遊客服務中心,南投縣,13130,6426,5554,5946,6291,8255,10560,14369,10399,15137,17943,13099,127109
2020,國家公園,玉山國家公園,排雲山莊,南投縣,2256,1090,3061,4707,4306,6707,6999,6828,6596,7631,7598,6497,64276
2021,國家公園,玉山國家公園,塔塔加遊憩區,南投縣,57816,68858,64606,64482,51361,14145,17509,28293,47107,66647,,,480824
2021,國家公園,玉山國家公園,梅山遊客中心,高雄市,4911,5625,3704,2839,2037,0,28,0,30,111,,,19285
2021,國家公園,玉山國家公園,南安遊客中心,花蓮縣,29566,34530,26708,28022,25852,15083,22058,29543,32413,30016,,,273791
2021,國家公園,玉山國家公園,玉山管理處遊客服務中心,南投縣,20647,12426,9732,11425,16145,0,122,1423,2624,4334,,,78878
2021,國家公園,玉山國家公園,排雲山莊,南投縣,3164,3574,5019,7271,3650,34,14,1420,2706,4269,,,31121
